Player,15+ Odds,15+ PropID,20+ Odds,20+ PropID,25+ Odds,25+ PropID,30+ Odds,30+ PropID
Adam Cerra (CAR),,,1.22,13755,2,13547,4.5,13495
Aidan Corr (NM),2.3,13854,8,13750,26,13542,51,13490
Ben Ainsworth (CAR),2.3,13831,8.5,13727,26,13519,51,13467
Brodie Kemp (CAR),3.3,13832,9,13728,26,13520,51,13468
Caleb Daniel (NM),,,1.26,13704,2.1,13496,5,13444
Callum Coleman-Jones (NM),2.2,13855,7.5,13751,26,13543,51,13491
Cameron Zurhaar (NM),4,13809,9,13705,26,13497,51,13445
Charlie Comben (NM),2.3,13810,8,13706,26,13498,51,13446
Colby McKercher (NM),,,,,1.3,13499,2.1,13447
Cooper Trembath (NM),7.5,13812,9,13708,26,13500,51,13448
Dylan Stephens (NM),1.07,13813,1.65,13709,3.5,13501,11,13449
Elijah Hollands (CAR),1.18,13835,2.1,13731,5.5,13523,23,13471
Finn OSullivan (NM),1.22,13814,2.25,13710,6,13502,26,13450
Francis Evans (CAR),2.4,13857,9,13753,26,13545,51,13493
George Hewett (CAR),,,1.15,13732,1.75,13524,3.6,13472
George Wardlaw (NM),1.2,13856,2.2,13752,6,13544,26,13492
Harry McKay (CAR),1.85,13838,5.5,13734,26,13526,51,13474
Harry Sheezel (NM),,,,,1.05,13504,1.38,13452
Jack Darling (NM),4,13817,9,13713,26,13505,51,13453
Jacob Weitering (CAR),1.9,13840,6,13736,26,13528,51,13476
Jagga Smith (CAR),,,,,1.33,13529,2.2,13477
Jordan Boyd (CAR),2.3,27409,8,27413,26,27429,51,27425
Jy Simpkin (NM),,,1.38,13715,2.5,13507,6.5,13455
Lachlan Cowan (CAR),1.45,13843,3.4,13739,12,13531,51,13479
Lewis Young (CAR),3.3,13844,9,13740,26,13532,51,13480
Luke Davies-Uniacke (NM),,,,,1.35,13509,2.25,13457
Luke McDonald (NM),1.32,13822,2.7,13718,8.5,13510,41,13458
Luke Parker (NM),,,1.13,13719,1.65,13511,3.25,13459
Marc Pittonet (CAR),2.2,13845,7.5,13741,26,13533,51,13481
Matthew Carroll (CAR),1.65,13846,4.25,13742,18,13534,51,13482
Mitch McGovern (CAR),1.75,13847,5,13743,23,13535,51,13483
Nic Newman (CAR),,,1.26,27412,2.15,27428,5,27424
Nick Larkey (NM),5.5,13824,9,13720,26,13512,51,13460
Oliver Florent (CAR),,,1.58,13744,3.25,13536,10,13484
Oliver Hollands (CAR),1.11,13849,1.8,13745,4.25,13537,15,13485
Patrick Cripps (CAR),,,1.13,13746,1.65,13538,3.25,13486
Paul Curtis (NM),3.3,13825,9,13721,26,13513,51,13461
Sam Walsh (CAR),,,,,1.3,13539,2.1,13487
Talor Byrne (CAR),4.25,13858,9,13754,26,13546,51,13494
Toby Pink (NM),2.5,13826,9,13722,26,13514,51,13462
Tom Blamires (NM),1.19,13827,2.15,13723,5.5,13515,23,13463
Tom Powell (NM),,,1.42,13724,2.7,13516,7.5,13464
Will Hayward (CAR),2.25,13852,8,13748,26,13540,51,13488
Zane Duursma (NM),8,13829,9,13725,26,13517,51,13465
